ID,Nama_Obat,Indikasi,Dosis,Kontraindikasi,Efek_Samping,Interaksi
34,Paratusin,"Paratusin digunakan untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk",Dewasa: 3 kali sehari 1 tablet. Anak (6 - 12 tahun) : 3 kali sehari 1/2 tablet,Penderita dengan gangguan fungsi hati berat. Wanita usia subur karena mempunyai efek mutagenik yang potensial. Penderita yang hipersensitif terhadap salah satu komponen obat ini. Penderita dengan gangguan jantung dan diabetes melitus,"Kantuk, pusing, mulut kering, ruam","Peningkatan risiko terjadinya kantuk, pusing, dan sulit konsentrasi jika digunakan dengan obat tidur, obat penenang (anti ansietas), antipsikotik, atau obat antihistamin, peningkatan risiko terjadinya efek samping yang berbahaya jika digunakan bersama obat antidepresan tipe penghambat monoamine oksidase (MAOI). Peningkatan risiko terjadinya perdarahan jika dikonsumsi dengan warfarin"
35,Neozep Forte,"Neozep Forte digunakan untuk mengobati gejala flu, seperti: hidung tersumbat, demam, pusing, dan bersin-bersin",Dewasa: 3-4x sehari 1 tablet Anak usia 6-12 tahun: 3-4x sehari setengah tablet,Hipersensitif,"Pusing, kantuk, susah tidur, sakit kepala, mual atau muntah, mulut kering, sembelit","Penurunan efektivitas paracetamol jika digunakan dalam waktu yang bersamaan dengan cholestyramine, peningkatan risiko terjadinya pusing, kantuk, dan sulit berkonsentrasi jika digunakan dengan obat anti cemas atau obat alergi (antihistamin), penurunan efektivitas antihipertensi, peningkatan risiko terjadinya krisis hipertensi dan efek samping yang fatal jika digunakan bersama obat golongan MAOI"
36,Calcium Lactate,"Calcium Lactate digunakan untuk pengobatan kekurangan kalsium, serta memelihara kesehatan tulang dan gigi",Dewasa : 3x sehari 1-2 tablet Anak : 2-3x sehari 1 tablet atau menurut petunjuk dokter,"Insufisiensi ginjal atau yang menderita batu ginjal, penderita hiperkalsemia dan hiperkalsiuria","Sendawa, sembelit, perut kembung, nyeri perut","Peningkatan risiko hiperkalsemia jika digunakan bersama obat diuretik golongan thiazide, peningkatan risiko gangguan irama jantung jika digunakan bersama digoxin, penurunan efektivitas calcium lactate jika digunakan bersama obat kortikosteroid, penurunan penyerapan dan efektivitas antibiotik golongan tetracycline, seperti doxycycline, maupun quinolone, seperti ciprofloxacin, penurunan efektivitas obat-obatan untuk osteoporosis, seperti bisfosfonat, alendronate, dan zoledronic acid"
37,Procold Flu,"Procold Flu digunakan untuk Meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin","Dewasa dan anak di atas 12 tahun : 1 kaplet, diminum 3 kali per hari. Anak 6-12 tahun : 1/2 kaplet, diminum 3 kali per hari",Hipersensitif,"Kantuk, mulut kering, gangguan pencernaan, sulit buang air kecil, detak jantung terasa cepat, lambat, tidak teratur, atau berdebar-debar, sakit kepala, sulit tidur (insomnia), gelisah, gemetaran (tremor)","Peningkatan risiko terjadinya krisis hipertensi jika Procold digunakan bersama obat antidepresan jenis monoamine oxidase inhibitors (MAOIs), seperti selegiline, penurunan penyerapan paracetamol jika digunakan bersama cholestyramine, peningkatan penyerapan paracetamol jika digunakan dengan metoclopramide dan domperidone, peningkatan risiko terjadinya perdarahan jika digunakan bersama dengan antikoagulan, seperti warfarin, peningkatan risiko terjadinya efek samping paracetamol jika digunakan dengan probenecid atau isoniazid, peningkatan risiko terjadinya gangguan irama jantung (aritmia) jika digunakan dengan quinidine, digoxin, dan digitalis, peningkatan efek obat antidepresan trisiklik, seperti amitriptyline, doxepine, dan imipramine, potensi berkurangnya efektivitas obat, jika dikonsumsi bersama dengan chlorpromazine, phentolamine, atau amiodarone, peningkatan kadar dextromethorphan jika digunakan dengan haloperidol atau thioridazine, peningkatan risiko terjadinya efek samping pusing, kantuk, dan sulit berkonsentrasi jika digunakan dengan antihistamin atau opioid"
38,Feminax,Feminax digunakan untuk mengurangi rasa sakit pada waktu haid (Dismenorea) dan pada kolik,Dewasa : 3 kali sehari 1-2 tablet Anak-anak 10-16 tahun : 3 kali sehari 1 tablet,Gangguan fungsi hati atau ginjal & hipersensitif terhadap komponen produk,"Kantuk, pusing atau sakit kepala, mual, mulut kering, kulit kemerahan, sembelit, gangguan buang air kecil","Penurunan efektivitas Feminax jika digunakan dengan cholestyramine, peningkatan risiko terjadinya efek samping pada liver jika digunakan dengan obat golongan barbiturat, seperti phenobarbital, penurunan efektivitas Feminax jika digunakan bersamaan atau dalam waktu dekat dengan antasida, peningkatan risiko terjadinya efek samping jika digunakan dengan obat golongan phenothiazine, haloperidol, atau antidepresan trisiklik, peningkatan risiko terjadinya hipotensi atau gangguan irama jantung jika digunakan bersama obat dengan efek antikolinergik, seperti diphenhydramine"
39,Maltofer,Maltofer digunakan untuk mengatasi kekurangan (defisiensi) zat besi tanpa anemia dan anemia akibat defisiensi zat besi,"Dosis & lama terapi bergantung pada tingkat defisiensi zat besi. Gejala defisiensi zat besi : 1 tablet, 2-3 kali sehari sampai angka Hb normal. Selanjutnya terapi diteruskan dengan 1 tablet sehari setidaknya sampai akhir masa kehamilan untuk melengkapi cadangan zat besi. Defisiensi zat besi laten dan pencegahan defisiensi zat besi dan asam folat : 1 tablet sehari. Defisiensi zat besi laten dan pencegahan defisiensi zat besi dan asam folat : 1 tablet sehari","Jangan dikonsumsi jika kelebihan zat besi, gangguan utilitas zat besi, anemia yang tidak disebabkan oleh defisiensi zat besi, hipersensitif terhadap komponen obat","Perubahan warna tinja, diare, mual, sakit perut, konstipasi, atau sakit maag",Pemberian Maltofer bersamaan dengan zat besi parenteral tidak diindikasikan karena penyerapan zat besi dari sediaan oral akan dihambat
40,Diapet,Diapet digunakan untuk membantu mengurangi frekuansi buang air besar,"Dewasa : Sehari 2 kali 2 kapsul Untuk diare akut : 2 kali 2 kapsul, dengan selang waktu 1 jam",Hipersensitivitas atau alergi terhadap terhadap salah satu bahan aktif obat ini,"Pusing, mual, sakit perut, perut kembung, sembelit",Tidak ada informasi terkait interaksi obat Diapet bila diberikan bersamaan dengan dengan obat lain
41,Actifed,Actifed digunakan untuk meredakan pilek dan batuk berdahak,"Dewasa dan anak-anak di atas 12 tahun : 1 sendok takar (5 ml), 3 kali sehari. Anak-anak usia 6-12 tahun : 1/2 sendok takar (2,5 ml), 3 kali sehari. Tidak dianjurkan untuk anak di bawah 6 tahun",Penderita hipersensitif terhadap komponen obat ini,"Kantuk setelah minum obat, sakit kepala, mulut, hidung, atau tenggorokan kering, pusing, sakit perut, sembelit, sulit tidur (insomnia), gangguan penglihatan atau pandangan kabur","Peningkatan risiko terjadinya krisis hipertensi jika digunakan bersama obat golongan MAOI, seperti isocarboxazid atau selegiline. Peningkatan risiko terjadinya efek samping digunakan bersama obat flu, pilek, atau batuk yang mengandung dekongestan dan antihistamin lain, penurunan efektivitas obat antihipertensi, seperti nifedipin atau candesartan"
42,Antimo,"Antimo digunakan untuk antivertigo, anti mabuk, pening dan mual selama perjalanan dengan kendaraan bermotor, kapal laut dan pesawat udara, baik untuk dewasa maupun anak-anak","Dewasa dan anak di atas 12 tahun : 1 tablet (50 mg), sehari tidak lebih dari 8 tablet (400 mg). Anak usia 8-12 tahun : 0.5 tablet (25 mg), sehari tidak lebih dari 3 tablet (150 mg). Diminum 30 menit sebelum bepergian menggunakan kendaraan, bila perlu dapat diulang tiap 4 jam","Penderita gangguan hati, kondisi rendahnya kadar kalium dalam tubuh (hipokalemia), hipersensitif terhadap antihistamin, gangguan berkemih dan peningkatan tekanan bola mata (glaukoma)","Kantuk, penglihatan buram, sembelit, hidung, tenggorokan, atau mulut terasa kering","Tertutupnya gejala efek samping dari obat-obatan yang merusak fungsi telinga (ototoksik), seperti antibiotik aminoglikosida sehingga berisiko menyebabkan efek samping tersebut terlambat ditangani, peningkatan risiko terjadinya efek samping dari obat dengan efek antikolinergik, seperti obat golongan antidepresan trisiklik atau obat golongan antiparkinson, seperti trihexyphenidyl, peningkatan risiko efek penekanan fungsi otak dari obat pereda nyeri opioid atau barbiturat"
43,Kenalog in Orabase,"Kenalog in Orabase digunakan untuk mengobati peradangan atau luka di bagian dalam mulut, seperti sariawan atau radang gusi, maupun luka akibat cedera, behel gigi, atau tersodok sikat gigi","Oleskan obat secukupnya sekitar 0.6 cm pada lesi hingga menghasilkan lapisan tipis. Tergantung pada tingkat keparahan gejala, mungkin perlu diterapkan 2-3 kali sehari",Hipersensitivitas. Infeksi jamur atau bakteri pada mulut atau tenggorokan. Lesi herpes yang diketahui berasal dari virus atau lesi intraoral,"Penggunaan yang berkepanjangan dapat menimbulkan efek samping yang biasa timbul pada penggunaan sediaan kortikosteroid sistemik, seperti supresi adrenal, perubahan pada metabolisme glukosa, katabolisme protein, aktivasi tukak lambung, dan lainnya. Efek samping ini biasanya reversibel dan hilang saat pengobatan dihentikan",Belum diketahui efek interaksi yang bisa terjadi jika Kenalog in Orabase digunakan bersamaan dengan obat lain.
44,Incidal-OD,"Incidal-OD digunakan untuk rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopatik kronis","Kondisi alergi Dosis yang dianjurkan: Dewasa & anak umur di atas 12 tahun: 10 mg sekali sehari. Anak umur 2-6 tahun : 2,5 mg dua kali sehari. Anak umur 6-12 tahun : 5 mg dua kali sehari. Lansia : Belum ada data untuk menurunkan dosis pada pasien lansia. Insufisiensi ginjal: dosis 1/2 kali dosis yang dianjurkan",Hipersensitif dan gangguan ginjal berat,"Kantuk, pusing, mulut kering, mual atau muntah, diare, sakit perut, tubuh terasa lelah, sakit kepala","Kandungan cetirizine dalam Incidal-OD dapat menimbulkan rasa sangat mengantuk, pusing, dan sulit berkonsentrasi jika digunakan secara bersamaan dengan beberapa jenis obat seperti obat antihistamin lain, obat antidepresan, obat antipsikotik, obat antikonvulsan, obat penenang jenis benzodiazepine, dan obat barbiturat"
45,Tremenza Sirup,"Tremenza Sirup digunakan untuk meredakan gejala batuk pilek, flu, dan rhinitis alergi, seperti hidung tersumbat, bersin-bersin, pilek, mata berair, dan tenggorokan gatal",Dewasa & Anak di atas 12 tahun : 3 kali sehari 2 sendok takar (@10 ml). Anak 6-12 tahun : 3 kali sehari 1 sendok takar (@5 ml.). Anak 2-5 tahun : 3 kali sehari 0.5 sendok takar (@2.5 ml),"Penyakit saluran napas bawah, termasuk asma. Glaukoma, hipertensi, diabetes, penyakit arteri koroner, terapi MAOI","Mulut kering, hidung terasa kering, atau tenggorokan kering, pusing, kantuk atau malah sulit tidur, sakit kepala, sakit perut, sembelit","Peningkatan risiko terjadinya krisis hipertensi dan efek samping yang fatal jika digunakan bersama obat golongan MAOI, seperti isocarboxazid atau selegiline, peningkatan tekanan darah jika digunakan dengan antidepresan trisiklik atau dekongestan lain, peningkatan efek kantuk dari obat penenang, antipsikotik, atau obat tidur antidepresan, penurunan efek antihipertensi dari metildopa dan penghambat beta, seperti bisoprolol"
46,Miconazole Topikal,Miconazole Topikal digunakan untuk mengatasi infeksi yang diakibatkan oleh jamur,Oleskan 2 kali per hari selama 2 sampai 4 minggu pada kulit yang infeksi,Hipersensitif,"Kulit terasa panas atau perih, kulit gatal-gatal, kulit kering dan bersisik","Jika digunakan dengan warfarin, miconazole topikal dapat meningkatkan risiko terjadinya perdarahan atau memar"
47,Ambeven,Ambeven digunakan untuk membantu meringankan gejala wasir,"2 kapsul, 3 kali per hari",Hipersensitif,Ambeven Kapsul cenderung aman jika digunakan sesuai dosis dan aturan pakai,Kandungan Sophora japonica di dalam Ambeven Kapsul dapat meningkatkan risiko terjadinya efek samping dari kafein
48,Folavit,Folavit digunakan untuk membantu memenuhi kebutuhan Asam Folat,"400-500 mcg per hari, Defisiensi asam folat : Dosis Awal : 0.25 - 1 mg per hari. Dosis pemeliharaan : 0.25 mg per hari. Untuk ibu hamil dan menyusui : 2 tablet per hari.",Terapi jangka panjang pada defisiensi kobalamin yang tidak diobati,"Mual, nafsu makan menurun, perut kembung atau sakit perut, rasa pahit atau tidak enak di mulut","Penurunan efektivitas obat antikonvulsan, seperti phenytoin, phenobarbital, carbamazepin, atau valproat, dalam menangani kejang, peningkatan risiko terjadinya efek samping dari lithium, penurunan efek methotrexate, penurunan efektivitas asam folat jika digunakan dengan aspirin, chloramphenicol, dan kotrimoksazol, penurunan penyerapan asam folat jika digunakan dengan sulfasalazine atau triamterene, peningkatan risiko terjadinya efek samping yang berbahaya dari obat kanker tertentu, seperti capecitabine atau fluorouracil"
49,Ardium,Ardium digunakan untuk membantu meringankan gangguan peredaran darah di kaki / varises. Membantu meringankan wasir kronik dan akut,"Untuk gangguan peredaran darah di kaki/varises dan wasir kronik: 2 Tablet/Hari. Untuk wasir akut: 6 Tablet/Hari selama 4 hari, kemudian 4 Tablet/Hari selama 3 hari",Hipersensitif,"Sakit perut, diare, pusing, atau sakit kepala","Peningkatan risiko terjadinya memar dan perdarahan jika digunakan dengan obat pengencer darah atau NSAID, seperti ibuprofen, peningkatan risiko terjadinya efek samping jika digunakan dengan vinblastine, ketoconazole, itraconazole, cimetidine, ranitidine, diltiazem, kortikosteroid, erythromycin, cisapride, fexofenadine, quinidine, atau loperamide, peningkatan risiko terjadinya hipotensi jika dikonsumsi dengan obat antihipertensi"
50,Decolsin,"Decolsin digunakan untuk meredakan batuk yang menyertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin","Dewasa: diminum 3-4 kali sehari, 2-4 sendok takar (10-20 ml). Anak umur 7-12 tahun: diminum 3-4 kali sehari, 1-2 sendok takar (5-10 ml). Anak umur 2-6 tahun: diminum 3-4 kali sehari, 1 sendok takar (5 ml)","Hipersensitif, hipertiroidisme, hipertensi, penyakit jantung, terapi MAOI, nefropati","Sakit perut, mengantuk, pusing, mual, muntah",Antihistamin dapat mempotensiasi depresan sistem saraf pusat lainnya. Efek yang diperpanjang oleh MAOI. Penggunaan parasetamol dalam waktu lama dapat meningkatkan antikoagulan oral
51,Tuzalos,"Tuzalos digunakan untuk mengatasi gejala-gejala flu seperti: demam, pusing, bersin-bersin, hidung tersumbat, yang disertai batuk tidak berdahak","Dewasa : 3 kali per hari 1 kaplet. Anak berusia (6 - 12 tahun) : 0.5 kaplet, 3 kali per hari","Penderita penyakit jantung, diabetes mellitus, dan disfungsi hati yang berat, serta pengguna obat anti depresan tipe penghambat monoamin oksidase (MAOI)","Mengantuk, gangguan pencernaan, gangguan psikomotor, takikardi, aritmia, palpitasi, pusing, mulut kering; retensi urin","Hindari penggunaan Tuzalos bersama dengan MAOI, dapat mengakibatkan krisis hipertensi, fluoxetine, paroxetine, quinidine, terbinafine
amantadine
bromocriptine
serta phenytoin, phenobarbital, carbamazepine, primidone"
52,Stop Cold,Stop Cold digunakan untuk meringankan gejala flu yang disertai batuk,Dewasa : 3x sehari 1 tablet,"Penderita yang peka terhadap obat simpatomimetik, penderita tekanan darah tinggi berat dan yang mendapat terapi obat antidepresan MAOI","Kantuk, mual atau muntah, diare atau malah sembelit, hidung, mulut, atau tenggorokan kering, sulit tidur pada malam hari","Penurunan efektivitas paracetamol jika dikonsumsi bersama colestyramine, peningkatan risiko terjadinya efek samping yang berbahaya jika Stop Cold dikonsumsi bersama isocarboxazid atau tranylcypromine, peningkatan efek kantuk jika digunakan dengan obat antipsikotik, obat tidur, atau obat antikonvulsan, penurun efektivitas obat hipertensi, peningkatan risiko terjadinya tekanan darah tinggi jika digunakan dengan ergotamine atau linezolid"
53,Dulcolax,"Dulcolax digunakan untuk mengatasi masalah sembelit/ susah BAB/ konstipasi. Untuk persiapan prosedur terapi diagnostic, terapi sebelum dan sesudah operasi dan dalam kondisi untuk mempercepat defekasi",Dewasa dan anak di atas usia 10 tahun : 1-2 tablet per hari. Anak 6-10 tahun : 1 tablet sekali sehari,"Obat ini tidak digunakan pada pasien ileus, obstruksi usus, yang baru mengalami pembedahan di bagian perut seperti usus buntu, penyakit radang usus akut, dan nyeri perut parah yang berhubungan dengan mual muntah. Obat ini juga dikontraindikasikan pada dehidrasi yang parah dan pasien yang diketahui hipersensitif terhadap Bisacodyl","Nyeri atau kram perut, lemas, diare, mual atau muntah, pusing","Penurunan efektivitas Dulcolax dan meningkatkan risiko timbulnya dispepsia dan iritasi lambung bila digunakan bersama obat antasida, peningkatan risiko terjadinya gangguan elektrolit bila dikombinasikan dengan obat kortikosteroid atau obat diuretik, peningkatan risiko terjadinya efek samping jika digunakan bersama obat pencahar lainnya"
54,Konidin,Konidin digunakan untuk meringankan batuk,Dewasa dan anak-anak diatas 12 tahun : 3x sehari 1-2 tablet. Anak-anak usia 6-12 tahun : 3 x sehari 1/2-1 tablet atau menurut petunjuk dokter,Hipersensitif,"Pusing, kantuk, mual atau muntah, mulut kering, sembelit, pandangan kabur","Peningkatan risiko terjadinya serotonin syndrome jika digunakan bersama antidepresan golongan SSRI, trisiklik, atau MAOI, peningkatan risiko terjadinya efek samping pusing, kantuk, dan sulit berkonsentrasi jika digunakan dengan antihistamin atau pereda nyeri opioid, peningkatan kadar phenytoin di dalam darah sehingga meningkatkan risiko terjadinya overdosis phenytoin"
55,Mixagrip,"Mixagrip digunakan untuk meredakan gejala flu seperti bersin-bersin, hidung berair, hidung tersumbat, demam, dan sakit kepala yang disertai batuk.",Dewasa dan anak diatas 12 tahun : 3 kali per hari 1 kaplet. Anak 6-12 tahun : 3 kali per hari 1/2 kaplet,"Hipersensitif, pasien yang menggunakan obat-obatan golongan monoamine oksidase (MAO) inhibitor, penderita diabetes mellitus, penyakit jantung, hipertensi berat, penyakit arteri koroner, hipertrofi prostat, hipertiroid dan glaucome","Mulut kering, sakit kepala, sulit tidur, sembelit, pandangan kabur, mual atau muntah","Peningkatan risiko terjadinya overdosis jika dikonsumsi dengan obat lain yang juga mengandung paracetamol. Peningkatan risiko terjadinya efek samping yang berbahaya, seperti krisis hipertensi, jika Mixagrip dikonsumsi bersamaan atau dalam waktu yang berdekatan dengan obat antidepresan trisiklik, seperti amitriptilin"
56,Diagit,Diagit digunakan untuk pengobatan simptomatik pada diare yang tidak diketahui penyebabnya,"Dewasa dan anak-anak usia lebih dari 12 tahun : Mula-mula 2 tablet, diikuti dengan penambahan 2 tablet lagi setiap selesai buang air besar, maksimum 12 tablet selama 24 jam. Anak-anak 6-12 tahun : Mula-mula 1 tablet kemudian 1 tablet lagi, setiap selesai buang air besar, maksimum 6 tablet",Hipersensitif,"Mual, pusing, konstipasi","Mengurangi efek ipecacuanha dan obat golongan emetik lainnya. Waspadai interaksi dengan obat hipoglikemik oral, antikoagulan, antagonis Vit K, PABA dan Procaine.
Dapat mempotensiasi efek antikolinergik antihistamin, antidepresan, antipsikotik, dan obat antiparkinson. Tidak boleh diberikan bersamaan dengan Dolutegravir secara oral. Produk yang mengandung aluminium, kalsium, besi, magnesium dan / atau mineral lainnya dapat mengganggu penyerapan dolutegravir dan mengurangi keefektifannya dalam mengobati infeksi HIV. Dolutegravir bisa diminum setidaknya dua jam sebelum atau enam jam setelah dosis Diagit.
Pemberian pectin bersamaan dengan makanan atau suplemen yang mengandung beta karoten dapat mengurangi kadar plasma beta-karoten lebih dari 50%.
Penggunaan pectin dan lovastatin bersamaan, dan penghambat reduktase HMG-CoA lainnya dapat menurunkan penyerapan inhibitor HMG-CoA reductase.
Menurunkan kadar plasma Digoksin."
57,Dicom,"Dicom digunakan untuk 
mengatasi dan meringankan gejala flu serta alergi, seperti hidung tersumbat. Mengatasi peradangan pada bagian dalam hidung yang tidak diketahui penyebabnya. Meredakan bersin-bersin, peradangan pada mukosa hidung yang disebabkan reaksi alergi (rhinitis alergi)","Dewasa 1 tablet, 3 kali sehari. Anak-anak (6-12 tahun) 1/2 tablet, 3 kali sehari","Riwayat hipersensitif atau reaksi alergi terhadap komponen obat, penderita penyakit darah tinggi, glaukoma, diabetes, dan jantung koroner. Penderita yang sedang menjalani pengobatan dengan obat penghambat monoamin oksidase","Mulut kering, palpitasi,rasa lelah, pusing, kerusakan hati (dosis besar)","Penurunan efek antihipertensi dari metildopa, penghambat beta, seperti bisoprolol; dan penghambat alfa, seperti terazosin dan prazosin, penurunan efektivitas pseudoephedrine jika digunakan dengan urinary acidifiers, seperti asam fosfat kalium, peningkatan risiko terjadinya efek samping jika pseudoephedrine digunakan dengan urinary alkalinizers, seperti kalium sitrat, peningkatan tekanan darah jika digunakan dengan antidepresan trisiklik atau agen simpatomimetik lain, seperti dekongestan, obat penurun selera makan, atau stimulan, seperti amfetamin, peningkatan risiko terjadinya krisis hipertensi dan efek samping yang fatal jika digunakan bersama obat golongan MAOI, seperti isocarboxazid atau selegiline"
58,Formyco,"Formyco digunakan untuk mengobati infeksi jamur sistemik, Kandidiasis mukokutan kronis yang tidak responsif terhadap Nistatin & obat-obat lainnya",Dewasa : 1 tablet sekali sehari. Infeksi berat : 2 tablet per hari. Anak di atas 2 tahun : 5 mg/kg BB/hari,Hipersensitivitas terhadap Ketokonazol. Penderita penyakit hati akut dan meningitis kriptokokus,"Pusing, kantuk, sakit kepala, mimisan, mual atau muntah, perut kembung, diare, payudara bengkak","Peningkatan risiko terjadinya gangguan irama jantung yang berbahaya jika digunakan dengan cisapride, escitalopram, sertraline, pimozide, ritonavir, atau methadone, peningkatan risiko terjadinya kerusakan hati jika digunakan dengan paracetamol atau duloxetine, peningkatan risiko terjadinya efek samping yang berbahaya dari fluticasone inhalasi, penurunan efektivitas ketoconazole jika digunakan dengan obat sakit maag, seperti antasida, sukralfat, ranitidin, cimetidine, omeprazole, atau lansoprazole, penurunan efektivitas ketoconazole jika digunakan dengan suplemen vitamin D atau kalsium, peningkatan risiko terjadinya kerusakan otot, termasuk rhabdomyolysis, jika digunakan bersama lovastatin dan simvastatin, peningkatan efek kantuk dan risiko terjadinya gangguan pernapasan berat jika digunakan bersama midazolam atau alprazolam, peningkatan risiko terjadinya efek samping jika digunakan dengan colchicine"
59,Nalgestan,"Nalgestan digunakan untuk vasokonstriktor & antihistamin pada hidung tersumbat, selesma, bersin-bersin, masuk angin, sinusitis, rinitis alergi, rinitis vasomotor",3-4x sehari 1 tablet,"Hipertiroidisme, hipertensi, penyakit jantung, feokromositoma, glaukoma sudut tertutup, mendapat terapi dengan MAOI, penyakit saluran nafas bawah, bayi baru lahir atau prematur, laktasi","Mata, hidung, dan mulut terasa kering, kantuk, pusing, sakit kepala, gelisah, mual atau muntah, sembelit, penglihatan kabur","Peningkatan risiko terjadinya overdosis jika digunakan bersama obat dexchlorpheniramine, peningkatan risiko terjadinya krisis hipertensi yang berbahaya bila digunakan bersama obat golongan MAOI, peningkatan efek samping kantuk jika digunakan bersama antihistamin lain, antidepresan, alkohol, obat pereda nyeri, pereda kecemasan, anti kejang, dan pelemas otot"
60,Bisolvon,Bisolvon digunakan sebagai sekretolitik (mukolitik) dan ekspektoran untuk meredakan batuk berdahak dan mempermudah pengeluaran dahak,"Dewasa dan Anak diatas 12 tahun:10 ml (sendok takar 5 ml), diberikan 3 kali perhari. Anak 6-12 tahun: 5 ml (1 sendok takar 5 ml), diberikan 3 kali per hari. Anak 2-6 tahun: 2.5 ml (setengah sendok takar 5 ml), diberikan 3 kali per hari",Penderita yang hipersensitif terhadap Bromhexine HCl atau komponen lain dalam formula,"Kembung, diare, mual dan muntah, pusing, sakit kepala, atau vertigo, gangguan pencernaan, tubuh berkeringat","Jika digunakan bersamaan dengan antibiotik, seperti ampicillin, erythromycin, amoxicillin, cefuroxime, doxycycline, kandungan bromhexine dalam Bisolvon Extra dapat meningkatkan risiko terjadinya efek samping obat antibiotik"
